0,1,2,3,4,5,6,7,8,9
2,3,4,5,6,7,8,9,10,Ace
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.1529745877,-0.1172162414,-0.0805733731,-0.0449413756,0.0117391607,-0.1068089895,-0.381950971,-0.4231542396,-0.4197206339,-0.478033475
0.1217419022,0.1483000728,0.1758544372,0.199561195,0.283443916,0.3995541673,0.1059513486,-0.1831633567,-0.1783012338,-0.1001988756
0.386304686,0.4043629366,0.4231789248,0.4395121042,0.4959770738,0.6159764958,0.5938536683,0.2875967571,0.0631181663,0.2776357238
0.6399865752,0.6502720943,0.6610499619,0.6703596906,0.7039585702,0.7732272265,0.7918151596,0.7583568708,0.5545375665,0.6554703231
0.8820065155,0.8853003573,0.888767293,0.8917538266,0.9028367438,0.925926296,0.9306050532,0.9391761561,0.9626236333,0.9221938114
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.2927837272,-0.2522502292,-0.211063109,-0.1671926608,-0.1536990158,-0.4753751833,-0.5105175155,-0.5431496811,-0.540430334,-0.6669507747
-0.1529745877,-0.1172162414,-0.0805733731,-0.0449413756,0.0117391607,-0.1068089895,-0.381950971,-0.4231542396,-0.4197206339,-0.478033475
0.1217419022,0.1483000728,0.1758544372,0.199561195,0.283443916,0.3995541673,0.1059513486,-0.1831633567,-0.1783012338,-0.1001988756
0.386304686,0.4043629366,0.4231789248,0.4395121042,0.4959770738,0.6159764958,0.5938536683,0.2875967571,0.0631181663,0.2776357238
0.6399865752,0.6502720943,0.6610499619,0.6703596906,0.7039585702,0.7732272265,0.7918151596,0.7583568708,0.5545375665,0.6554703231
0.8820065155,0.8853003573,0.888767293,0.8917538266,0.9028367438,0.925926296,0.9306050532,0.9391761561,0.9626236333,0.9221938114
